Checking duplicate records in file ticdata2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,2,1,2,4,1,0,5,2,2,7,0,2,2,5,3,0,0,9,0,0,0,2,7,0,0,0,0,9,0,5,4,9,0,0,9,0,5,4,0,0,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2_1_2_4_1_0_5_2_2_7_0_2_2_5_3_0_0_9_0_0_0_2_7_0_0_0_0_9_0_5_4_9_0_0_9_0_5_4_0_0_0_3_6_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_2_1_2_4_1_0_5_2_2_7_0_2_2_5_3_0_0_9_0_0_0_2_7_0_0_0_0_9_0_5_4_9_0_0_9_0_5_4_0_0_0_3_6_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1233,2,1,2,4,1,0,5,2,2,7,0,2,2,5,3,0,0,9,0,0,0,2,7,0,0,0,0,9,0,5,4,9,0,0,9,0,5,4,0,0,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2_1_2_4_1_0_5_2_2_7_0_2_2_5_3_0_0_9_0_0_0_2_7_0_0_0_0_9_0_5_4_9_0_0_9_0_5_4_0_0_0_3_6_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_2_1_2_4_1_0_5_2_2_7_0_2_2_5_3_0_0_9_0_0_0_2_7_0_0_0_0_9_0_5_4_9_0_0_9_0_5_4_0_0_0_3_6_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
5391,2,1,3,4,1,1,4,0,5,6,0,3,3,2,5,3,2,4,6,2,0,1,1,0,4,1,3,3,0,3,6,6,2,1,3,6,3,1,4,1,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2_1_3_4_1_1_4_0_5_6_0_3_3_2_5_3_2_4_6_2_0_1_1_0_4_1_3_3_0_3_6_6_2_1_3_6_3_1_4_1_2_6_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_2_1_3_4_1_1_4_0_5_6_0_3_3_2_5_3_2_4_6_2_0_1_1_0_4_1_3_3_0_3_6_6_2_1_3_6_3_1_4_1_2_6_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1816,2,1,3,4,1,1,4,0,5,6,0,3,3,2,5,3,2,4,6,2,0,1,1,0,4,1,3,3,0,3,6,6,2,1,3,6,3,1,4,1,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2_1_3_4_1_1_4_0_5_6_0_3_3_2_5_3_2_4_6_2_0_1_1_0_4_1_3_3_0_3_6_6_2_1_3_6_3_1_4_1_2_6_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_2_1_3_4_1_1_4_0_5_6_0_3_3_2_5_3_2_4_6_2_0_1_1_0_4_1_3_3_0_3_6_6_2_1_3_6_3_1_4_1_2_6_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
4246,2,1,4,2,1,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,9,0,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3246,2,1,4,2,1,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,9,0,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
5065,2,1,4,2,1,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,9,0,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
294,2,1,4,2,1,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,9,0,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
2117,2,1,4,2,1,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,9,0,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1128,2,1,4,2,1,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,9,0,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3757,2,1,4,2,1,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,9,0,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3176,2,1,4,2,1,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,9,0,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_2_1_4_2_1_1_4_1_4_7_1_2_2_4_4_5_4_0_0_5_4_0_0_0_9_0_0_0_0_4_5_6_2_1_5_4_0_0_9_0_0_6_6_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
2848,2,2,3,3,1,2,4,0,3,9,0,0,1,3,6,6,2,1,4,4,1,1,1,0,8,1,1,1,0,0,9,9,0,0,3,6,1,0,4,5,0,8,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2_2_3_3_1_2_4_0_3_9_0_0_1_3_6_6_2_1_4_4_1_1_1_0_8_1_1_1_0_0_9_9_0_0_3_6_1_0_4_5_0_8_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_2_3_3_1_2_4_0_3_9_0_0_1_3_6_6_2_1_4_4_1_1_1_0_8_1_1_1_0_0_9_9_0_0_3_6_1_0_4_5_0_8_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2603,2,2,3,3,1,2,4,0,3,9,0,0,1,3,6,6,2,1,4,4,1,1,1,0,8,1,1,1,0,0,9,9,0,0,3,6,1,0,4,5,0,8,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2_2_3_3_1_2_4_0_3_9_0_0_1_3_6_6_2_1_4_4_1_1_1_0_8_1_1_1_0_0_9_9_0_0_3_6_1_0_4_5_0_8_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_2_3_3_1_2_4_0_3_9_0_0_1_3_6_6_2_1_4_4_1_1_1_0_8_1_1_1_0_0_9_9_0_0_3_6_1_0_4_5_0_8_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2979,30,1,2,3,7,0,5,1,3,7,1,2,3,5,2,0,4,5,0,0,0,2,2,6,0,3,3,2,3,3,6,9,0,0,5,4,2,3,3,3,0,5,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30_1_2_3_7_0_5_1_3_7_1_2_3_5_2_0_4_5_0_0_0_2_2_6_0_3_3_2_3_3_6_9_0_0_5_4_2_3_3_3_0_5_2_2_0_0_5_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_30_1_2_3_7_0_5_1_3_7_1_2_3_5_2_0_4_5_0_0_0_2_2_6_0_3_3_2_3_3_6_9_0_0_5_4_2_3_3_3_0_5_2_2_0_0_5_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1123,30,1,2,3,7,0,5,1,3,7,1,2,3,5,2,0,4,5,0,0,0,2,2,6,0,3,3,2,3,3,6,9,0,0,5,4,2,3,3,3,0,5,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30_1_2_3_7_0_5_1_3_7_1_2_3_5_2_0_4_5_0_0_0_2_2_6_0_3_3_2_3_3_6_9_0_0_5_4_2_3_3_3_0_5_2_2_0_0_5_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_30_1_2_3_7_0_5_1_3_7_1_2_3_5_2_0_4_5_0_0_0_2_2_6_0_3_3_2_3_3_6_9_0_0_5_4_2_3_3_3_0_5_2_2_0_0_5_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
2581,30,1,2,4,7,0,4,0,5,3,0,6,6,2,2,1,1,7,0,0,0,0,5,4,0,0,0,6,3,9,0,5,0,4,9,0,6,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30_1_2_4_7_0_4_0_5_3_0_6_6_2_2_1_1_7_0_0_0_0_5_4_0_0_0_6_3_9_0_5_0_4_9_0_6_3_0_0_0_2_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_30_1_2_4_7_0_4_0_5_3_0_6_6_2_2_1_1_7_0_0_0_0_5_4_0_0_0_6_3_9_0_5_0_4_9_0_6_3_0_0_0_2_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3771,30,1,2,4,7,0,4,0,5,3,0,6,6,2,2,1,1,7,0,0,0,0,5,4,0,0,0,6,3,9,0,5,0,4,9,0,6,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30_1_2_4_7_0_4_0_5_3_0_6_6_2_2_1_1_7_0_0_0_0_5_4_0_0_0_6_3_9_0_5_0_4_9_0_6_3_0_0_0_2_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_30_1_2_4_7_0_4_0_5_3_0_6_6_2_2_1_1_7_0_0_0_0_5_4_0_0_0_6_3_9_0_5_0_4_9_0_6_3_0_0_0_2_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1336,30,1,2,4,7,0,4,0,5,3,0,6,6,2,2,1,1,7,0,0,0,0,5,4,0,0,0,6,3,9,0,5,0,4,9,0,6,3,0,0,0,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30_1_2_4_7_0_4_0_5_3_0_6_6_2_2_1_1_7_0_0_0_0_5_4_0_0_0_6_3_9_0_5_0_4_9_0_6_3_0_0_0_2_2_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_30_1_2_4_7_0_4_0_5_3_0_6_6_2_2_1_1_7_0_0_0_0_5_4_0_0_0_6_3_9_0_5_0_4_9_0_6_3_0_0_0_2_2_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
125,30,1,2,4,7,0,4,0,5,3,0,6,6,2,2,1,1,7,0,0,0,0,5,4,0,0,0,6,3,9,0,5,0,4,9,0,6,3,0,0,0,2,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30_1_2_4_7_0_4_0_5_3_0_6_6_2_2_1_1_7_0_0_0_0_5_4_0_0_0_6_3_9_0_5_0_4_9_0_6_3_0_0_0_2_2_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_30_1_2_4_7_0_4_0_5_3_0_6_6_2_2_1_1_7_0_0_0_0_5_4_0_0_0_6_3_9_0_5_0_4_9_0_6_3_0_0_0_2_2_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1649,30,1,2,4,7,0,4,1,5,3,1,6,3,2,4,0,1,8,1,0,0,1,0,7,0,0,2,2,5,8,1,4,2,4,7,2,7,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30_1_2_4_7_0_4_1_5_3_1_6_3_2_4_0_1_8_1_0_0_1_0_7_0_0_2_2_5_8_1_4_2_4_7_2_7_2_0_0_0_2_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_30_1_2_4_7_0_4_1_5_3_1_6_3_2_4_0_1_8_1_0_0_1_0_7_0_0_2_2_5_8_1_4_2_4_7_2_7_2_0_0_0_2_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2488,30,1,2,4,7,0,4,1,5,3,1,6,3,2,4,0,1,8,1,0,0,1,0,7,0,0,2,2,5,8,1,4,2,4,7,2,7,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30_1_2_4_7_0_4_1_5_3_1_6_3_2_4_0_1_8_1_0_0_1_0_7_0_0_2_2_5_8_1_4_2_4_7_2_7_2_0_0_0_2_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_30_1_2_4_7_0_4_1_5_3_1_6_3_2_4_0_1_8_1_0_0_1_0_7_0_0_2_2_5_8_1_4_2_4_7_2_7_2_0_0_0_2_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4455,30,1,2,4,7,1,4,2,3,6,2,1,2,7,1,2,3,5,3,1,0,2,2,2,2,1,1,4,2,7,2,7,2,1,5,4,3,2,4,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30_1_2_4_7_1_4_2_3_6_2_1_2_7_1_2_3_5_3_1_0_2_2_2_2_1_1_4_2_7_2_7_2_1_5_4_3_2_4_1_0_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_30_1_2_4_7_1_4_2_3_6_2_1_2_7_1_2_3_5_3_1_0_2_2_2_2_1_1_4_2_7_2_7_2_1_5_4_3_2_4_1_0_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
4514,30,1,2,4,7,1,4,2,3,6,2,1,2,7,1,2,3,5,3,1,0,2,2,2,2,1,1,4,2,7,2,7,2,1,5,4,3,2,4,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30_1_2_4_7_1_4_2_3_6_2_1_2_7_1_2_3_5_3_1_0_2_2_2_2_1_1_4_2_7_2_7_2_1_5_4_3_2_4_1_0_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_30_1_2_4_7_1_4_2_3_6_2_1_2_7_1_2_3_5_3_1_0_2_2_2_2_1_1_4_2_7_2_7_2_1_5_4_3_2_4_1_0_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
4495,30,1,2,4,7,2,6,2,2,2,0,7,4,3,2,0,4,6,1,0,1,1,1,7,0,1,1,7,1,1,8,5,0,4,9,0,4,3,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30_1_2_4_7_2_6_2_2_2_0_7_4_3_2_0_4_6_1_0_1_1_1_7_0_1_1_7_1_1_8_5_0_4_9_0_4_3_3_0_0_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_30_1_2_4_7_2_6_2_2_2_0_7_4_3_2_0_4_6_1_0_1_1_1_7_0_1_1_7_1_1_8_5_0_4_9_0_4_3_3_0_0_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3726,30,1,2,4,7,2,6,2,2,2,0,7,4,3,2,0,4,6,1,0,1,1,1,7,0,1,1,7,1,1,8,5,0,4,9,0,4,3,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30_1_2_4_7_2_6_2_2_2_0_7_4_3_2_0_4_6_1_0_1_1_1_7_0_1_1_7_1_1_8_5_0_4_9_0_4_3_3_0_0_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_30_1_2_4_7_2_6_2_2_2_0_7_4_3_2_0_4_6_1_0_1_1_1_7_0_1_1_7_1_1_8_5_0_4_9_0_4_3_3_0_0_3_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
